iteration,energy
330,-822237690384726323450095643521974272.000000
331,-822237690384726323450095643521974272.000000
332,-822237690384726323450095643521974272.000000
333,-822237690384726323450095643521974272.000000
334,-822237690384726323450095643521974272.000000
335,-822237690384726323450095643521974272.000000
336,-822237690384726323450095643521974272.000000
337,-822237690384726323450095643521974272.000000
338,-822237690384726323450095643521974272.000000
339,-822237690384726323450095643521974272.000000
340,-822237690384726323450095643521974272.000000
341,-822237690384726323450095643521974272.000000
342,-822237690384726323450095643521974272.000000
343,-822237690384726323450095643521974272.000000
344,-822237690384726323450095643521974272.000000
345,-822237690384726323450095643521974272.000000
346,-822237690384726323450095643521974272.000000
347,-822237690384726323450095643521974272.000000
348,-822237690384726323450095643521974272.000000
349,-822237690384726323450095643521974272.000000
350,-822237690384726323450095643521974272.000000
351,-822237690384726323450095643521974272.000000
352,-822237690384726323450095643521974272.000000
353,-822237690384726323450095643521974272.000000
354,-822237690384726323450095643521974272.000000
355,-822237690384726323450095643521974272.000000
356,-822237690384726323450095643521974272.000000
357,-822237690384726323450095643521974272.000000
358,-822237690384726323450095643521974272.000000
359,-822237690384726323450095643521974272.000000
360,-822237690384726323450095643521974272.000000
361,-822237690384726323450095643521974272.000000
362,-822237690384726323450095643521974272.000000
363,-822237690384726323450095643521974272.000000
364,-822237690384726323450095643521974272.000000
365,-822237690384726323450095643521974272.000000
366,-822237690384726323450095643521974272.000000
367,-822237690384726323450095643521974272.000000
368,-822237690384726323450095643521974272.000000
369,-822237690384726323450095643521974272.000000
370,-822237690384726323450095643521974272.000000
371,-822237690384726323450095643521974272.000000
372,-822237690384726323450095643521974272.000000
373,-822237690384726323450095643521974272.000000
374,-822237690384726323450095643521974272.000000
375,-822237690384726323450095643521974272.000000
376,-822237690384726323450095643521974272.000000
377,-822237690384726323450095643521974272.000000
378,-822237690384726323450095643521974272.000000
379,-822237690384726323450095643521974272.000000
380,-822237690384726323450095643521974272.000000
381,-822237690384726323450095643521974272.000000
382,-822237690384726323450095643521974272.000000
383,-822237690384726323450095643521974272.000000
384,-822237690384726323450095643521974272.000000
385,-822237690384726323450095643521974272.000000
386,-822237690384726323450095643521974272.000000
387,-822237690384726323450095643521974272.000000
388,-822237690384726323450095643521974272.000000
389,-822237690384726323450095643521974272.000000
390,-822237690384726323450095643521974272.000000
391,-822237690384726323450095643521974272.000000
392,-822237690384726323450095643521974272.000000
393,-822237690384726323450095643521974272.000000
394,-822237690384726323450095643521974272.000000
395,-822237690384726323450095643521974272.000000
396,-822237690384726323450095643521974272.000000
397,-822237690384726323450095643521974272.000000
398,-822237690384726323450095643521974272.000000
399,-822237690384726323450095643521974272.000000
400,-822237690384726323450095643521974272.000000
401,-822237690384726323450095643521974272.000000
402,-822237690384726323450095643521974272.000000
403,-822237690384726323450095643521974272.000000
404,-822237690384726323450095643521974272.000000
405,-822237690384726323450095643521974272.000000
406,-822237690384726323450095643521974272.000000
407,-822237690384726323450095643521974272.000000
408,-822237690384726323450095643521974272.000000
409,-822237690384726323450095643521974272.000000
410,-822237690384726323450095643521974272.000000
411,-822237690384726323450095643521974272.000000
412,-822237690384726323450095643521974272.000000
413,-822237690384726323450095643521974272.000000
414,-822237690384726323450095643521974272.000000
415,-822237690384726323450095643521974272.000000
416,-822237690384726323450095643521974272.000000
417,-822237690384726323450095643521974272.000000
418,-822237690384726323450095643521974272.000000
419,-822237690384726323450095643521974272.000000
420,-822237690384726323450095643521974272.000000
421,-822237690384726323450095643521974272.000000
422,-822237690384726323450095643521974272.000000
423,-822237690384726323450095643521974272.000000
424,-822237690384726323450095643521974272.000000
425,-822237690384726323450095643521974272.000000
426,-822237690384726323450095643521974272.000000
427,-822237690384726323450095643521974272.000000
428,-822237690384726323450095643521974272.000000
429,-822237690384726323450095643521974272.000000
430,-822237690384726323450095643521974272.000000
431,-822237690384726323450095643521974272.000000
432,-822237690384726323450095643521974272.000000
433,-822237690384726323450095643521974272.000000
434,-822237690384726323450095643521974272.000000
435,-822237690384726323450095643521974272.000000
436,-822237690384726323450095643521974272.000000
437,-822237690384726323450095643521974272.000000
438,-822237690384726323450095643521974272.000000
439,-822237690384726323450095643521974272.000000
440,-822237690384726323450095643521974272.000000
441,-822237690384726323450095643521974272.000000
442,-822237690384726323450095643521974272.000000
443,-822237690384726323450095643521974272.000000
444,-822237690384726323450095643521974272.000000
445,-822237690384726323450095643521974272.000000
446,-822237690384726323450095643521974272.000000
447,-822237690384726323450095643521974272.000000
448,-822237690384726323450095643521974272.000000
449,-822237690384726323450095643521974272.000000
450,-822237690384726323450095643521974272.000000
451,-822237690384726323450095643521974272.000000
452,-822237690384726323450095643521974272.000000
453,-822237690384726323450095643521974272.000000
454,-822237690384726323450095643521974272.000000
455,-822237690384726323450095643521974272.000000
456,-822237690384726323450095643521974272.000000
457,-822237690384726323450095643521974272.000000
458,-822237690384726323450095643521974272.000000
459,-822237690384726323450095643521974272.000000
460,-822237690384726323450095643521974272.000000
461,-822237690384726323450095643521974272.000000
462,-822237690384726323450095643521974272.000000
463,-822237690384726323450095643521974272.000000
464,-822237690384726323450095643521974272.000000
465,-822237690384726323450095643521974272.000000
466,-822237690384726323450095643521974272.000000
467,-822237690384726323450095643521974272.000000
468,-822237690384726323450095643521974272.000000
469,-822237690384726323450095643521974272.000000
470,-822237690384726323450095643521974272.000000
471,-822237690384726323450095643521974272.000000
472,-822237690384726323450095643521974272.000000
473,-822237690384726323450095643521974272.000000
474,-822237690384726323450095643521974272.000000
475,-822237690384726323450095643521974272.000000
476,-822237690384726323450095643521974272.000000
477,-822237690384726323450095643521974272.000000
478,-822237690384726323450095643521974272.000000
479,-822237690384726323450095643521974272.000000
480,-822237690384726323450095643521974272.000000
481,-822237690384726323450095643521974272.000000
482,-822237690384726323450095643521974272.000000
483,-822237690384726323450095643521974272.000000
484,-822237690384726323450095643521974272.000000
485,-822237690384726323450095643521974272.000000
486,-822237690384726323450095643521974272.000000
487,-822237690384726323450095643521974272.000000
488,-822237690384726323450095643521974272.000000
489,-822237690384726323450095643521974272.000000
490,-822237690384726323450095643521974272.000000
491,-822237690384726323450095643521974272.000000
492,-822237690384726323450095643521974272.000000
493,-822237690384726323450095643521974272.000000
494,-822237690384726323450095643521974272.000000
495,-822237690384726323450095643521974272.000000
496,-822237690384726323450095643521974272.000000
497,-822237690384726323450095643521974272.000000
498,-822237690384726323450095643521974272.000000
499,-822237690384726323450095643521974272.000000
500,-822237690384726323450095643521974272.000000
501,-822237690384726323450095643521974272.000000
502,-822237690384726323450095643521974272.000000
503,-822237690384726323450095643521974272.000000
504,-822237690384726323450095643521974272.000000
505,-822237690384726323450095643521974272.000000
506,-822237690384726323450095643521974272.000000
507,-822237690384726323450095643521974272.000000
508,-822237690384726323450095643521974272.000000
509,-822237690384726323450095643521974272.000000
510,-822237690384726323450095643521974272.000000
511,-822237690384726323450095643521974272.000000
